k,dimension,epoch,fonction de similarite,qualite
12,3,7,"similarite_trajectoires_MRR_cosinus",0.3146997929606625
15,3,7,"similarite_trajectoires_MRR_cosinus",0.32091097308488614
20,3,7,"similarite_trajectoires_MRR_cosinus",0.32546583850931676
25,3,7,"similarite_trajectoires_MRR_cosinus",0.32298136645962733
30,3,7,"similarite_trajectoires_MRR_cosinus",0.3233954451345756
40,3,7,"similarite_trajectoires_MRR_cosinus",0.32215320910973083
50,3,7,"similarite_trajectoires_MRR_cosinus",0.3225672877846791
1,3,7,"similarite_trajectoires_JACCARD_cosinus",0.24803312629399585
2,3,7,"similarite_trajectoires_JACCARD_cosinus",0.2492753623188406
3,3,7,"similarite_trajectoires_JACCARD_cosinus",0.2554865424430642
4,3,7,"similarite_trajectoires_JACCARD_cosinus",0.26211180124223604
5,3,7,"similarite_trajectoires_JACCARD_cosinus",0.27412008281573497
6,3,7,"similarite_trajectoires_JACCARD_cosinus",0.28405797101449276
8,3,7,"similarite_trajectoires_JACCARD_cosinus",0.2968944099378882
10,3,7,"similarite_trajectoires_JACCARD_cosinus",0.3060041407867495
12,3,7,"similarite_trajectoires_JACCARD_cosinus",0.3130434782608696
15,3,7,"similarite_trajectoires_JACCARD_cosinus",0.3188405797101449
20,3,7,"similarite_trajectoires_JACCARD_cosinus",0.3233954451345756
25,3,7,"similarite_trajectoires_JACCARD_cosinus",0.32463768115942027
30,3,7,"similarite_trajectoires_JACCARD_cosinus",0.3213250517598344
40,3,7,"similarite_trajectoires_JACCARD_cosinus",0.3225672877846791
50,3,7,"similarite_trajectoires_JACCARD_cosinus",0.3213250517598344
1,3,10,"similarite_trajectoires_MRR_cosinus",0.2492753623188406
2,3,10,"similarite_trajectoires_MRR_cosinus",0.2492753623188406
3,3,10,"similarite_trajectoires_MRR_cosinus",0.2567287784679089
4,3,10,"similarite_trajectoires_MRR_cosinus",0.26873706004140785
5,3,10,"similarite_trajectoires_MRR_cosinus",0.27660455486542446
6,3,10,"similarite_trajectoires_MRR_cosinus",0.2873706004140787
8,3,10,"similarite_trajectoires_MRR_cosinus",0.3018633540372671
10,3,10,"similarite_trajectoires_MRR_cosinus",0.3101449275362319
12,3,10,"similarite_trajectoires_MRR_cosinus",0.3146997929606625
15,3,10,"similarite_trajectoires_MRR_cosinus",0.3204968944099379
20,3,10,"similarite_trajectoires_MRR_cosinus",0.3233954451345756
25,3,10,"similarite_trajectoires_MRR_cosinus",0.3213250517598344
30,3,10,"similarite_trajectoires_MRR_cosinus",0.3213250517598344
40,3,10,"similarite_trajectoires_MRR_cosinus",0.3225672877846791
50,3,10,"similarite_trajectoires_MRR_cosinus",0.32215320910973083
1,3,10,"similarite_trajectoires_JACCARD_cosinus",0.2496894409937888
2,3,10,"similarite_trajectoires_JACCARD_cosinus",0.2513457556935818
3,3,10,"similarite_trajectoires_JACCARD_cosinus",0.2571428571428571
4,3,10,"similarite_trajectoires_JACCARD_cosinus",0.2683229813664596
5,3,10,"similarite_trajectoires_JACCARD_cosinus",0.2761904761904762
6,3,10,"similarite_trajectoires_JACCARD_cosinus",0.28530020703933745
8,3,10,"similarite_trajectoires_JACCARD_cosinus",0.3018633540372671
10,3,10,"similarite_trajectoires_JACCARD_cosinus",0.31097308488612835
12,3,10,"similarite_trajectoires_JACCARD_cosinus",0.3184265010351967
15,3,10,"similarite_trajectoires_JACCARD_cosinus",0.32091097308488614
